Time(seconds),Population,AverageSpeed,AverageSight,AverageMetabolism,AverageMutationRate(%)
298.131,12,110.597,204.778,0.0453726,95.8164
299.197,12,110.597,204.778,0.0453726,95.8164
300.264,12,110.597,204.778,0.0453726,95.8164
301.331,12,110.597,204.778,0.0453726,95.8164
302.397,12,110.597,204.778,0.0453726,95.8164
303.464,12,109.515,228.501,0.0449495,95.5912
304.531,13,111.333,236.382,0.0453114,95.8387
305.597,14,113.531,231.364,0.0456268,96.0626
306.664,16,112.672,229.413,0.0454399,96.1048
307.731,17,110.894,224.519,0.045186,96.022
308.797,17,110.894,224.519,0.045186,96.022
309.864,17,110.894,224.519,0.045186,96.022
310.931,17,110.894,224.519,0.045186,96.022
311.997,18,112.103,224.166,0.0452731,95.9613
313.064,18,112.103,224.166,0.0452731,95.9613
314.13,19,113.311,227.626,0.0451862,95.9374
315.197,20,113.221,227.585,0.0452585,95.8439
316.264,21,114.739,221.279,0.0452405,95.7916
317.33,22,113.522,216.122,0.0451449,95.7874
318.397,26,108.846,217.026,0.0453291,95.9752
319.464,27,107.982,218.242,0.0451986,95.9701
320.53,28,106.928,222.735,0.0452511,95.9741
321.597,27,105.957,218.726,0.045088,95.8692
322.664,24,104.223,205.537,0.04491,95.8938
323.73,22,106.185,207.627,0.0450074,95.9525
324.797,19,107.791,195.206,0.0450534,95.9048
325.864,16,105.144,205.486,0.0450776,96.051
326.93,17,105.951,213.826,0.0451095,96.0248
327.997,19,104.838,227.078,0.0450813,96.0877
329.064,19,104.838,227.078,0.0450813,96.0877
330.13,22,106.618,218.849,0.0450211,96.0374
331.197,23,106.473,212.088,0.0450161,95.9971
332.264,23,106.473,212.088,0.0450161,95.9971
333.33,23,104.33,213.477,0.0448477,95.8291
334.397,23,104.33,213.477,0.0448477,95.8291
335.464,23,104.33,213.477,0.0448477,95.8291
336.53,22,104.003,212.871,0.0447665,95.9092
337.597,25,105.084,207.255,0.0448614,95.9858
338.663,22,104.609,216.383,0.0448484,96.0017
339.73,21,104.093,207.124,0.0447547,95.9019
340.797,21,106.378,201.309,0.0447899,95.8987
341.863,19,107.091,197.928,0.045086,96.171
342.93,18,106.437,189.63,0.0450564,96.2025
343.997,17,107.234,197.227,0.044964,96.113
345.063,16,110.895,207.908,0.0450871,95.9767
346.13,16,109.993,217.336,0.0446379,95.7485
347.197,15,111.375,220.723,0.0447745,95.7346
348.263,16,114.602,216.494,0.0446101,95.6784
349.33,16,114.602,216.494,0.0446101,95.6784
350.397,16,114.602,216.494,0.0446101,95.6784
351.463,17,113.721,216.905,0.0444765,95.6415
352.53,17,113.721,216.905,0.0444765,95.6415
353.597,17,113.721,216.905,0.0444765,95.6415
354.663,18,113.946,220.421,0.0447585,95.7262
355.73,20,112.255,222.874,0.0445763,95.5083
356.797,20,112.255,222.874,0.0445763,95.5083
357.863,20,112.255,222.874,0.0445763,95.5083
358.93,24,111.512,239.766,0.0447622,95.6569
359.996,25,111.808,237.087,0.0447205,95.6634
361.063,28,111.796,236.987,0.0445937,95.7489
362.13,29,111.55,234.263,0.0445551,95.7645
363.196,29,111.55,234.263,0.0445551,95.7645
364.263,30,112.471,234.762,0.0445873,95.7123
365.33,31,112.501,228.814,0.0446659,95.8095
366.396,35,111.556,242.8,0.0444257,95.7953
367.463,35,111.556,242.8,0.0444257,95.7953
368.53,36,111.017,244.278,0.044416,95.7967
369.596,37,111.013,238.302,0.0443258,95.7744
370.663,40,111.929,240.543,0.0443488,95.7368
371.73,41,111.833,238.859,0.0443957,95.7059
372.796,43,112.032,242.558,0.044386,95.5667
373.863,45,110.289,244.23,0.0444742,95.6886
374.93,45,110.289,244.23,0.0444742,95.6886
375.996,41,108.999,245.417,0.0444833,95.6421
377.063,43,108.967,249.553,0.044327,95.6316
378.13,43,107.267,252.73,0.0443645,95.6066
379.196,39,106.516,241.154,0.0441673,95.4673
380.263,37,106.875,233.848,0.044303,95.4773
381.329,38,106.965,234.604,0.04419,95.5791
382.396,38,108.283,230.69,0.044286,95.5636
383.463,40,108.567,231.882,0.0443627,95.5822
384.529,44,108.713,228.868,0.0443894,95.6462
385.596,45,108.303,227.757,0.0444008,95.6404
386.663,42,110.046,232.186,0.044454,95.6136
387.729,38,110.878,223.908,0.0442192,95.5435
388.796,36,111.659,219.64,0.0441486,95.4444
389.863,30,114.255,207.881,0.044208,95.3491
390.929,25,113.565,200.306,0.0436963,95.2872
391.996,22,113.983,188.1,0.0437007,95.4488
393.063,23,112.342,183.006,0.0436623,95.5035
394.129,23,110.979,185.279,0.0436203,95.6165
395.196,25,110.275,181.254,0.0436877,95.5399
396.263,24,109.396,185.363,0.0436823,95.3889
397.329,26,111.147,178.828,0.043635,95.5291
398.396,26,111.147,178.828,0.043635,95.5291
399.463,25,111.468,181.277,0.0435566,95.631
400.529,27,112.327,165.196,0.043654,95.752
401.596,26,113.716,168.822,0.0436863,95.7153
402.662,25,114.238,167.93,0.0437856,95.6758
403.729,27,110.969,171.668,0.0438624,95.4785
404.796,26,109.121,175.221,0.0438661,95.3912
405.862,25,109.045,176.668,0.0439105,95.4219
406.929,23,110.386,177.391,0.0439533,95.4031
407.996,24,111.533,190.864,0.0439699,95.3664
409.062,25,112.341,187.482,0.0440026,95.4614
410.129,26,111.686,184.729,0.0439476,95.5547
411.196,25,110.33,187.24,0.0439336,95.4965
412.262,25,112.791,184.305,0.0439202,95.6929
413.329,27,114.29,186.922,0.0439374,95.5912
414.396,29,112.948,185.94,0.0438324,95.4933
415.462,31,112.376,199.327,0.0438329,95.4465
416.529,32,112.301,199.871,0.0438259,95.4739
417.596,33,112.141,201.301,0.0438016,95.4255
418.662,34,112.03,210.901,0.0437743,95.3488
419.729,34,110.215,214.081,0.0436784,95.4398
420.796,32,109.157,213.938,0.0436539,95.5445
421.862,29,108.341,217.101,0.0437056,95.6329
422.929,26,108.035,203.499,0.0437582,95.783
423.995,21,106.61,189.436,0.0437156,95.7073
425.062,18,108.078,184.5,0.0439343,95.5925
426.129,18,109.444,194.605,0.0440814,95.6
427.195,21,107.747,196.8,0.044165,95.3173
428.262,22,110.293,208.921,0.044268,95.312
429.329,22,110.95,201.402,0.0443854,95.3909
430.395,22,110.95,201.402,0.0443854,95.3909
431.462,22,110.95,201.402,0.0443854,95.3909
432.529,23,111.235,206.185,0.0443363,95.348
433.595,23,111.235,206.185,0.0443363,95.348
434.662,23,111.235,206.185,0.0443363,95.348
435.729,23,111.854,212.563,0.0443018,95.4706
436.795,23,111.854,212.563,0.0443018,95.4706
437.862,24,112.519,213.956,0.0443022,95.4112
438.929,25,112.781,210.862,0.0443445,95.4044
439.995,25,112.371,207.052,0.0443431,95.3829
441.062,24,112.634,198.263,0.0443296,95.398
442.129,24,111.409,195.265,0.0443279,95.4239
443.195,25,111.787,196.276,0.04434,95.5621
444.262,23,112.642,195.376,0.0443852,95.5894
445.328,26,109.311,200.512,0.0442954,95.6035
446.395,26,109.311,200.512,0.0442954,95.6035
447.462,27,109.28,199.7,0.0442358,95.685
448.528,28,109.061,200.864,0.0441924,95.6847
449.595,26,110.19,189.811,0.0443033,95.6789
450.662,27,110.378,184.871,0.0443174,95.7845
451.728,29,110.578,176.459,0.0442865,95.7572
452.795,31,109.912,179.267,0.0443347,95.8791
453.862,31,109.438,183.424,0.0441909,95.9567
454.928,31,109.438,183.424,0.0441909,95.9567
455.995,32,109.592,182.153,0.0441986,95.9338
457.062,28,109.631,178.27,0.044174,95.8558
458.128,27,109.273,174.6,0.0442035,95.7392
459.195,26,110.434,179.393,0.0441619,95.7306
460.262,27,109.947,187.066,0.0440606,95.7159
461.328,30,109.633,196.115,0.0440322,95.7178
462.395,30,109.633,196.115,0.0440322,95.7178
463.462,36,110.926,192.191,0.0441848,95.506
464.528,39,110.291,188.536,0.044238,95.4578
465.595,40,110.245,188.183,0.0442816,95.4572
466.661,40,112.541,188.224,0.0442457,95.4316
467.728,39,113.607,187.209,0.0442622,95.4682
468.795,35,113.609,176.362,0.0443606,95.4045
469.861,35,114.394,186.625,0.0444071,95.3528
470.928,35,115.148,189.934,0.0443568,95.2948
471.995,35,115.148,189.934,0.0443568,95.2948
473.061,35,115.021,194.631,0.0444175,95.3216
474.128,38,114.519,195.172,0.0444768,95.1864
475.195,42,116.558,194.052,0.0445617,95.2768
476.261,46,116.779,190.07,0.0446471,95.2665
477.328,48,117.215,192.977,0.0447133,95.3293
478.395,52,116.463,187.558,0.0447169,95.2986
479.461,52,116.463,187.558,0.0447169,95.2986
480.528,53,116.786,187.657,0.0447082,95.3066
481.595,53,116.07,191.177,0.0446849,95.2652
482.661,52,116.311,186.917,0.0447122,95.2926
483.728,53,115.777,187.809,0.0446553,95.2133
484.795,53,115.481,197.312,0.0445979,95.1427
485.861,50,113.439,190.475,0.0445196,95.1227
486.928,44,109.477,178.079,0.0445347,95.1006
487.995,44,111.093,184.712,0.0445895,95.0943
489.061,41,109.956,168.283,0.0447311,95.2346
490.128,35,109.89,165.401,0.044601,95.2717
491.194,30,109.068,160.599,0.0445424,95.2732
492.261,29,108.237,159.224,0.0445485,95.2344
493.328,27,108.928,155.635,0.0444886,95.4399
494.394,26,108.051,157.532,0.0444772,95.3513
495.461,27,107.086,163.415,0.0443371,95.3604
496.528,28,108.938,167.62,0.0443303,95.3368
497.594,30,108.569,169.234,0.0443459,95.4543
498.661,34,105.461,160.053,0.0442596,95.3705
499.728,36,107.057,161.004,0.0443229,95.3077
500.794,36,106.392,162.958,0.0442849,95.2222
501.861,36,106.392,162.958,0.0442849,95.2222
502.928,35,107.019,166.496,0.0440993,95.3305
503.994,35,107.019,166.496,0.0440993,95.3305
505.061,33,107.293,169.165,0.0440851,95.4109
506.128,31,107.279,167.892,0.044084,95.5498
507.194,30,106.645,171.166,0.0440711,95.4187
508.261,31,106.781,173.876,0.0441063,95.4292
509.328,33,104.417,176.464,0.0440923,95.499
510.394,38,105.514,180.447,0.0440471,95.5205
511.461,41,104.723,180.354,0.0440844,95.416
512.528,43,105.157,178.508,0.0441427,95.4328
513.594,44,105.099,180.374,0.0441196,95.4475
514.661,46,103.901,180.098,0.044121,95.4116
515.728,45,101.264,180.644,0.0440465,95.4613
516.795,44,101.39,176.692,0.0440673,95.4457
517.862,41,99.7828,178.087,0.0439912,95.3767
518.929,40,99.3675,176.921,0.0440151,95.3949
519.996,38,99.1572,179.281,0.0440642,95.4276
521.063,42,101.488,182.118,0.0440492,95.4692
522.13,42,101.011,177.371,0.0441013,95.5716
523.197,42,101.738,178.171,0.0440453,95.6348
524.263,45,103.891,176.334,0.0441273,95.7021
525.33,45,102.447,176.576,0.0441017,95.5728
526.397,46,102.33,173.544,0.0440985,95.6152
527.464,48,102.208,169.044,0.0440744,95.679
528.531,47,102.804,169.295,0.0440675,95.6892
529.598,45,101.511,160.268,0.0440671,95.8981
530.665,45,101.511,160.268,0.0440671,95.8981
531.732,48,102.869,175.397,0.0441317,96.158
532.799,50,103.159,177.015,0.0441519,96.1037
533.865,50,102.272,170.699,0.044175,95.9014
534.932,46,100.707,164.257,0.044145,95.8312
535.999,47,100.8,165.639,0.0441309,95.8521
537.066,48,100.961,164.733,0.0441243,95.7718
538.133,50,100.365,171.606,0.0440602,95.661
539.2,50,101.13,175.062,0.044054,95.6305
540.267,51,101.342,181.222,0.0440035,95.6194
541.334,53,101.591,177.237,0.0440065,95.6461
542.401,54,101.192,181.321,0.0439816,95.694
543.468,50,99.5161,174.936,0.0440654,95.6211
544.534,52,99.8138,172.839,0.0442504,95.5969
545.601,51,99.4292,165.086,0.0442659,95.5883
546.668,52,99.1316,166.19,0.0442741,95.5959
547.735,53,100.03,161.157,0.0443342,95.5549
548.802,56,99.9958,164.032,0.0443626,95.5653
549.869,57,100.442,161.728,0.0443204,95.657
550.936,57,99.8504,165.988,0.04418,95.6259
552.003,58,99.7558,166.413,0.0441648,95.6641
553.07,59,101.372,163.005,0.0441932,95.7841
554.136,59,102.115,167.79,0.0441977,95.8865
555.203,59,102.53,165.085,0.0441688,95.893
556.27,61,101.882,163.585,0.0441356,95.909
557.337,62,101.665,163.48,0.0441605,95.9129
558.404,63,100.841,162.997,0.0441258,95.9433
559.471,66,101.512,160.109,0.0440674,95.9894
560.538,66,100.949,156.874,0.0441319,95.9018
561.605,67,100.113,157.923,0.0441857,95.8319
562.672,70,99.993,164.486,0.0441881,95.7721
563.739,69,101.302,164.012,0.0442165,95.8416
564.805,70,102.121,163.277,0.0441305,95.9501
565.872,74,102.201,164.655,0.0441284,95.9622
566.939,69,101.644,162,0.0440659,95.9467
568.006,63,101.462,158.816,0.0441034,95.8313
569.073,60,101.982,156.023,0.0441969,95.8122
570.14,57,101.979,153.482,0.0441127,95.9074
571.207,54,102.603,155.607,0.0442434,96.0164
572.274,55,100.735,154.73,0.0442462,96.0295
573.341,56,100.115,149.671,0.044252,96.0066
574.407,57,100.144,144.92,0.0442299,95.9648
575.474,59,100.839,145.44,0.0441894,96.0833
576.541,61,100.621,147.868,0.0441995,96.124
577.608,63,100.591,150.9,0.0441682,96.0858
578.675,67,101.58,149.808,0.0441004,96.1349
579.742,64,102.029,148.962,0.0440923,96.0062
580.809,64,101.997,149.046,0.0441804,96.0111
581.876,62,102.2,147.665,0.0442163,96.0411
582.943,59,101.421,143.215,0.0441342,96.0611
584.01,52,100.917,138.53,0.0440812,96.1071
585.076,46,100.629,134.698,0.0440122,96.1413
586.143,38,99.3776,134.056,0.0441481,96.0149
587.21,28,97.191,127.22,0.04413,95.8486
588.277,26,97.8246,131.147,0.044099,95.9232
589.344,26,100.744,126.249,0.0440436,95.7262
590.411,28,100.121,127.788,0.0439998,95.6944
591.478,27,102.162,136.537,0.0438855,95.609
592.545,27,102.162,136.537,0.0438855,95.609
593.612,26,104.102,136.673,0.0438516,95.7331
594.678,25,104.928,137.559,0.0438946,95.7536
595.745,25,104.928,137.559,0.0438946,95.7536
596.812,23,104.961,138.283,0.0441496,95.8596
597.879,23,104.236,140.981,0.0441317,95.8434
598.946,23,104.236,140.981,0.0441317,95.8434
600.013,25,103.223,158.513,0.0440857,95.6535
